"","ID","V1_SitioZona","V2_TiempoConoce_meses","V3_Recomienda","V4_Atencion_cat","V5_Atencion_1a4","V6_VisitasSemana","V7_PrecioAlmuerzo","V8_CompanerosAlmuerzo","V9_Edad","V11_Ingresos","V12_Gastos","V13_PesoKg","V14_EstaturaCm","V15_Sexo"
"1",1,"Zona Norte",18,"Sí","Regular",2,4,31723,2,51,2702446,1794479,61.4,166.1,"Masculino"
"2",2,"Zona Sur",21,"No","Buena",3,6,21306,2,24,1500000,1162990,60.9,154.4,"Femenino"
"3",3,"Zona Sur",50,"No","Regular",2,2,13996,2,39,2410984,1049828,69.7,183.5,"Masculino"
"4",4,"Zona Centro",21,"Sí","Mala",1,1,21114,0,29,8557637,6749036,85,158.2,"Femenino"
"5",5,"Zona Centro",66,"Sí","Regular",2,6,21419,2,59,2018402,1099514,69.4,177.7,"Masculino"
"6",6,"Zona Norte",40,"No","Regular",2,1,25708,1,35,4010542,2072082,66.2,171.4,"Masculino"
"7",7,"Zona Centro",30,"No","Regular",2,4,21898,0,64,1500000,1023380,67.7,155.4,"Femenino"
"8",8,"Zona Centro",93,"No","Mala",1,1,25197,1,48,3704795,2503799,50,171.1,"Masculino"
"9",9,"Zona Sur",25,"No","Mala",1,2,16217,2,29,2327929,1212977,85.2,157.7,"Femenino"
"10",10,"Zona Sur",50,"Sí","Excelente",4,2,19815,5,39,1784790,1301359,62.6,156.5,"Femenino"
"11",11,"Zona Centro",34,"No","Regular",2,2,22474,1,31,10066995,6156472,77.3,180.9,"Masculino"
"12",12,"Zona Sur",27,"No","Mala",1,7,18452,2,46,3591508,2430242,71.7,150,"Femenino"
"13",13,"Zona Norte",45,"No","Excelente",4,1,30049,0,63,4520269,2035240,48.5,156.6,"Femenino"
"14",14,"Zona Sur",9,"No","Regular",2,2,21142,0,18,4356102,2389411,45,161.9,"Femenino"
"15",15,"Zona Norte",41,"Sí","Buena",3,2,25050,0,38,1500000,997388,72.4,176.2,"Masculino"
"16",16,"Zona Norte",21,"No","Regular",2,0,29217,1,38,2069157,606264,66.7,178.1,"Masculino"
"17",17,"Zona Centro",28,"No","Regular",2,5,21385,3,54,4304706,2158218,70,156.8,"Femenino"
"18",18,"Zona Sur",29,"Sí","Regular",2,2,17007,0,62,3311937,2082033,77.5,169.9,"Masculino"
"19",19,"Zona Centro",34,"Sí","Regular",2,5,21544,2,31,3030474,1430942,67.2,170.3,"Masculino"
"20",20,"Zona Norte",8,"Sí","Regular",2,1,23696,2,32,5741863,3199365,50,159.7,"Femenino"
"21",21,"Zona Centro",120,"Sí","Mala",1,1,18659,3,42,3006616,1924406,62.4,157.8,"Femenino"
"22",22,"Zona Sur",16,"Sí","Mala",1,4,15593,2,22,2578564,2094993,79.2,180.8,"Masculino"
"23",23,"Zona Centro",104,"No","Mala",1,1,23839,1,47,1832397,1341861,74.5,159.3,"Masculino"
"24",24,"Zona Norte",52,"No","Regular",2,2,27529,1,37,3314068,1796640,53.2,156.8,"Femenino"
"25",25,"Zona Sur",33,"Sí","Buena",3,4,17821,3,35,3427375,2064120,47.3,166.4,"Femenino"
"26",26,"Zona Sur",21,"Sí","Buena",3,2,16959,4,29,2068366,1479915,80.4,165.3,"Femenino"
"27",27,"Zona Norte",4,"No","Buena",3,3,27975,1,41,3666967,2558728,68.6,158.3,"Masculino"
"28",28,"Zona Centro",45,"Sí","Regular",2,1,18166,0,62,1563307,740670,54.2,150.1,"Femenino"
"29",29,"Zona Norte",8,"No","Regular",2,3,30301,5,33,6844277,3466847,51.8,175.9,"Masculino"
"30",30,"Zona Norte",49,"Sí","Excelente",4,2,28072,0,32,5264627,2181130,80.3,177.8,"Masculino"
"31",31,"Zona Centro",23,"Sí","Mala",1,2,23092,1,33,1500000,1084373,80.7,176,"Masculino"
"32",32,"Zona Sur",73,"Sí","Buena",3,5,14792,2,39,1898621,869463,60.9,169.8,"Masculino"
"33",33,"Zona Centro",30,"No","Regular",2,3,21424,2,24,2256412,1379160,70.5,169.9,"Masculino"
"34",34,"Zona Sur",29,"No","Regular",2,3,16331,2,34,2439542,1521883,67.5,157.4,"Femenino"
"35",35,"Zona Norte",51,"Sí","Mala",1,3,27834,1,50,1571955,1018158,82.6,164.5,"Masculino"
"36",36,"Zona Norte",35,"No","Regular",2,0,29948,1,48,2694767,1476490,59.6,164.8,"Femenino"
